ID,Codice,Nome,Categoria,Fornitore,Prezzo Acquisto,IVA %,Prezzo Vendita,Margine %,Unità Magazzino,Fattore Conversione,Unità Servizio,Giacenza Attuale,Giacenza Minima,Punto Riordino,Disponibile Menu,Attivo
148,PROD-148,"Tonica Schweppes 20cl",Bibite & Succhi,,0.00,22,0.00,N/A,pz,1,pz,0,,5,SI,SI
150,PROD-150,"Tonica Light Fever-Tree",Bibite & Succhi,,0.00,22,0.00,N/A,pz,1,pz,0,,5,SI,SI
153,PROD-153,"Succo Yoga 200ml",Bibite & Succhi,,0.00,22,0.00,N/A,pz,1,pz,0,,5,SI,SI
154,PROD-154,"Succo Yoga Mirtillo 200ml",Bibite & Succhi,,0.00,22,0.00,N/A,pz,1,pz,0,,5,SI,SI
49,122,"Khalua",Superalcolici > Liquori,,1.20,22,3.00,60.00,pz,1,pz,0,,5,SI,SI
50,123,"Limoncello",Superalcolici > Liquori,,1.00,22,2.50,60.00,pz,1,pz,0,,5,SI,SI
23,111,"Bombay Sapphire",Superalcolici > Distillati,,1.20,22,3.00,60.00,pz,1,pz,0,,5,SI,SI
31,162,"Jack Daniel's",Superalcolici > Distillati,,1.40,22,3.50,60.00,pz,1,pz,0,,5,SI,SI
30,163,"Jameson Triple Distilled",Superalcolici > Distillati,,2.00,22,5.00,60.00,pz,1,pz,0,,5,SI,SI
21,112,"Caprisius The Spirits Of Capri",Superalcolici > Distillati,,2.80,22,7.00,60.00,pz,1,pz,0,,5,SI,SI
22,114,"Hendrick's",Superalcolici > Distillati,,2.40,22,6.00,60.00,pz,1,pz,0,,5,SI,SI
56,903,"Ciambella Semplice",Dolciumi,,0.60,22,1.50,60.00,pz,1,pz,0,,5,SI,SI
51,912,"Muffin alla Nutella Colazione",Dolciumi,,1.00,22,2.50,60.00,pz,1,pz,0,,5,SI,SI
19,606,"Muffin alla Nutella",Dolciumi,,1.00,22,2.50,60.00,pz,1,pz,0,,5,SI,SI
52,911,"Muffin Vari Gusti",Dolciumi,,0.92,22,2.30,60.00,pz,1,pz,0,,5,SI,SI
