id,nome,descrizione,prezzo,categoria,disponibile,terminato,destinazione,codice,glutenFree,vegano,vegetariano,isDeleted,createdAt,updatedAt
276,Cocktail 25cl,,2.5,APERITIVI > ANALCOLICI,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:28:18.738Z
275,Crodino 10cl,,2.5,APERITIVI > ANALCOLICI,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:39:03.825Z
274,Sanbitter 10cl,,2.5,APERITIVI > ANALCOLICI,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:39:03.825Z
93,_CATEGORIA_PLACEHOLDER_APERITIVI > ANALCOLICI,Placeholder per categoria vuota - non eliminare,0,APERITIVI > ANALCOLICI,false,false,BAR,,false,false,false,true,2025-07-23T15:32:55.220Z,2025-07-23T15:32:55.220Z
337,_CATEGORIA_PLACEHOLDER_APERITIVI > ANALCOLICI,Placeholder per categoria vuota - non eliminare,0,APERITIVI > ANALCOLICI,false,false,BAR,,false,false,false,true,2025-07-25T20:28:18.008Z,2025-07-25T20:28:18.008Z
268,Aperol 100cl,,2.5,APERITIVI > Classici,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:16:14.507Z
44,Calice di Prosecco,Prosecco Asolo di Montelvini,3,APERITIVI > Classici,true,false,BAR,202,false,false,false,false,2025-07-22T12:23:59.536Z,2025-07-25T13:19:30.261Z
271,Campari Bitter 100cl,,2.5,APERITIVI > Classici,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:16:14.507Z
272,Campari Soda 10cl,,2.5,APERITIVI > Classici,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:26:13.150Z
270,Martini Rosso 100cl,,2.5,APERITIVI > Classici,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:16:14.507Z
207,Martini Rubino,,2.5,APERITIVI > Classici,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T20:16:14.507Z
65,Americano,"Campari Bitter, Vermouth Rosso, Soda",4,APERITIVI > Cocktail,true,false,BAR,702,false,false,false,false,2025-07-22T12:24:02.367Z,2025-07-25T13:19:47.294Z
73,Hu,"Prosecco, Sciroppo di Sambuco, Succo di Lime, Foglie di Menta",3.5,APERITIVI > Cocktail,true,false,BAR,705,false,false,false,false,2025-07-22T12:24:03.420Z,2025-07-25T13:19:47.854Z
42,Hugo,"Prosecco, sciroppo di sambuco, succo di lime, foglie di menta",3.5,APERITIVI > Cocktail,true,false,BAR,203,false,false,false,false,2025-07-22T12:23:59.277Z,2025-07-25T13:19:35.446Z
43,Mimosa,"Prosecco, succo d'arancia",3.5,APERITIVI > Cocktail,true,false,BAR,204,false,false,false,false,2025-07-22T12:23:59.406Z,2025-07-25T13:19:35.922Z
27,Negroni,"Gin, Vermouth rosso, Campari bitter",4,APERITIVI > Cocktail,true,false,BAR,708,false,false,false,false,2025-07-22T12:23:57.302Z,2025-07-25T13:19:34.974Z
66,Negroni Sbagliato,"Campari Bitter, Vermouth Rosso, Prosecco",4,APERITIVI > Cocktail,true,false,BAR,709,false,false,false,false,2025-07-22T12:24:02.499Z,2025-07-25T13:19:50.536Z
70,South Side,"Gin, Succo di Limone, Sciroppo di zucchero, Foglie di Menta",4,APERITIVI > Cocktail,true,false,BAR,711,false,false,false,false,2025-07-22T12:24:03.024Z,2025-07-25T13:19:49.591Z
41,Spritz Aperol,"Aperol bitter, prosecco, seltz",4,APERITIVI > Cocktail,true,false,BAR,201,false,false,false,false,2025-07-22T12:23:59.136Z,2025-07-25T13:19:36.391Z
72,Spritz Passion,"Passoa Passion Fruit, Prosecco, Seltz",4,APERITIVI > Cocktail,true,false,BAR,710,false,false,false,false,2025-07-22T12:24:03.290Z,2025-07-25T13:19:50.065Z
302,Bicchiere Elios 166cl 100pz,,0,Bar,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T13:29:55.474Z
301,Cannucce Nere 7x21 1000pz,,0,Bar,true,false,BAR,,false,false,false,false,2025-07-25T13:29:55.474Z,2025-07-25T13:29:55.474Z
